aX,aY,aZ,gX,gY,gZ
1.003,-0.110,-0.184,3.479,0.854,-0.854
1.002,-0.111,-0.187,3.967,1.404,-1.282
1.005,-0.116,-0.190,4.761,1.892,-1.648
1.013,-0.127,-0.196,4.883,1.709,-1.404
1.016,-0.127,-0.194,4.517,0.916,-0.793
1.010,-0.113,-0.189,4.456,0.610,-0.916
1.000,-0.108,-0.187,5.188,0.610,-1.709
1.002,-0.119,-0.190,5.615,0.977,-1.892
1.007,-0.123,-0.190,5.798,1.221,-1.709
1.007,-0.106,-0.190,5.737,1.587,-1.465
1.009,-0.103,-0.192,6.165,1.709,-1.770

0.997,-0.314,-0.329,-201.477,-0.671,24.963
1.025,-0.294,-0.327,-222.778,-2.380,27.954
1.062,-0.043,-0.293,-231.506,-2.991,26.062
1.049,0.078,-0.280,-233.459,-3.235,14.160
1.021,0.194,-0.245,-227.112,-3.540,8.484
1.010,0.220,-0.221,-206.116,-2.991,2.014
1.009,0.299,-0.173,-192.505,-1.709,0.061
1.012,0.341,-0.149,-157.898,0.427,-3.296
1.003,0.404,-0.106,-136.780,1.160,-4.883
0.995,0.401,-0.091,-113.831,2.380,-6.042
0.994,0.370,-0.085,-66.284,5.798,-4.761
1.002,0.257,-0.095,-44.434,7.202,-2.197
0.999,0.192,-0.103,-9.644,8.789,2.930
1.000,0.080,-0.113,2.625,9.644,4.272
1.007,0.031,-0.119,17.761,11.780,4.456
1.019,-0.062,-0.136,21.179,12.756,3.540
1.026,-0.094,-0.141,21.301,13.184,1.465
1.022,-0.121,-0.148,19.287,13.000,0.549
1.023,-0.125,-0.151,14.038,12.329,-0.854
1.035,-0.146,-0.160,11.414,11.780,-1.404
1.045,-0.156,-0.165,8.606,10.925,-1.709
1.055,-0.140,-0.167,2.563,8.484,-1.404
1.049,-0.122,-0.164,0.061,7.263,-1.282
1.036,-0.098,-0.157,-2.380,5.554,-2.258
1.031,-0.101,-0.155,-2.441,5.066,-2.625
1.032,-0.106,-0.155,-2.075,4.211,-1.343
1.035,-0.087,-0.153,-1.709,3.784,-0.366
1.032,-0.079,-0.151,-0.061,2.930,0.244
1.025,-0.108,-0.148,0.916,2.380,0.000
1.020,-0.129,-0.144,0.610,1.526,0.366
1.012,-0.132,-0.138,-0.427,1.709,0.916
1.009,-0.114,-0.136,-2.014,2.625,1.221
0.998,-0.090,-0.136,-2.197,3.235,0.488
0.998,-0.100,-0.141,-2.014,4.395,-1.160
1.012,-0.118,-0.150,-2.319,4.578,-1.160
1.011,-0.103,-0.150,-2.930,5.127,-0.488
1.007,-0.061,-0.151,-2.258,5.737,-0.854
1.007,-0.057,-0.157,1.343,6.470,-2.563
1.019,-0.099,-0.170,2.991,6.409,-3.113
1.030,-0.118,-0.175,3.723,5.920,-2.930
1.036,-0.117,-0.177,3.723,4.272,-1.221
1.032,-0.087,-0.175,3.967,3.845,-0.977
1.028,-0.084,-0.174,5.798,3.174,-2.319
1.020,-0.120,-0.175,6.470,2.808,-3.052
1.023,-0.133,-0.175,5.676,2.136,-2.563
1.027,-0.121,-0.171,4.883,1.831,-1.831
1.023,-0.111,-0.169,4.089,1.526,-1.831
1.018,-0.122,-0.167,4.089,1.404,-2.258
1.016,-0.129,-0.164,3.601,1.404,-2.014
1.015,-0.111,-0.158,3.296,1.648,-1.282
1.015,-0.092,-0.156,4.211,2.380,-0.427
1.015,-0.079,-0.160,5.432,2.502,-0.671
1.014,-0.101,-0.168,7.324,2.014,-0.977
1.026,-0.142,-0.175,7.080,1.343,0.061
1.027,-0.132,-0.171,6.226,0.671,1.587
1.021,-0.107,-0.167,5.127,0.610,3.174
1.013,-0.073,-0.163,5.798,0.793,2.747
1.011,-0.081,-0.165,7.385,1.038,0.732
1.011,-0.098,-0.166,7.324,1.160,0.183
1.011,-0.090,-0.164,6.714,1.587,0.000
1.004,-0.067,-0.165,6.836,2.075,-0.610
1.001,-0.068,-0.166,7.996,3.052,-2.991
1.003,-0.104,-0.175,8.362,3.479,-3.845
1.011,-0.117,-0.177,7.629,3.601,-3.357
1.020,-0.108,-0.179,7.019,3.601,-2.686
1.019,-0.099,-0.180,6.775,3.540,-2.380
1.016,-0.112,-0.184,7.080,2.930,-2.930
1.020,-0.132,-0.187,6.958,2.502,-3.052
1.028,-0.142,-0.188,5.188,1.343,-1.892
1.026,-0.120,-0.181,4.150,0.916,-0.977
1.022,-0.101,-0.178,3.662,0.854,-0.610
1.014,-0.089,-0.174,4.211,0.916,-1.099
1.010,-0.101,-0.178,5.310,1.099,-1.709
1.015,-0.124,-0.185,5.188,1.038,-1.343
1.017,-0.120,-0.183,4.150,0.732,-0.122
1.018,-0.092,-0.176,4.028,0.610,0.122
1.013,-0.084,-0.174,5.127,0.549,-0.488
1.004,-0.091,-0.176,5.859,0.610,-0.854
1.005,-0.097,-0.178,6.409,0.793,-0.977
1.012,-0.095,-0.180,6.348,1.160,-0.977
1.013,-0.085,-0.180,6.348,1.465,-1.099
1.014,-0.077,-0.180,7.202,2.014,-2.075
1.013,-0.090,-0.184,7.874,2.075,-2.747
1.014,-0.110,-0.187,8.362,1.709,-3.052
1.018,-0.137,-0.190,7.751,1.343,-2.686
1.015,-0.131,-0.187,5.493,0.854,-1.892
1.010,-0.109,-0.185,4.761,0.916,-1.831
1.011,-0.111,-0.187,4.211,1.160,-2.014
1.014,-0.118,-0.190,3.784,1.099,-1.953
1.013,-0.114,-0.188,2.747,1.038,-1.526
1.013,-0.098,-0.185,2.625,1.160,-1.526
1.014,-0.097,-0.186,3.052,1.465,-2.136
