aX,aY,aZ,gX,gY,gZ
1.007,0.021,-0.269,-1.404,0.244,0.793
1.003,0.021,-0.267,-1.282,-0.183,0.732
0.998,0.020,-0.266,-0.916,-0.488,0.488
0.989,0.017,-0.264,-0.977,-0.244,0.366
0.990,0.013,-0.265,-1.587,0.488,0.061
0.999,0.007,-0.268,-2.075,0.549,0.061
0.996,0.011,-0.268,-2.808,0.122,0.305
0.994,0.025,-0.266,-2.686,0.061,0.366
0.996,0.027,-0.263,-1.770,0.122,0.122
0.995,0.021,-0.261,-1.404,0.244,0.000
0.998,0.015,-0.263,-1.282,0.427,0.000
0.995,0.007,-0.265,-1.404,0.366,0.244
0.993,0.009,-0.266,-1.526,0.366,0.549
0.993,0.015,-0.267,-1.770,0.732,1.038
1.000,0.027,-0.270,-1.770,0.793,1.099
1.001,0.027,-0.271,-1.343,0.671,0.793
0.995,0.022,-0.273,-1.282,0.549,0.549
0.994,0.020,-0.273,-1.343,0.610,0.000
0.994,0.010,-0.271,-1.465,0.610,-0.061

1.039,0.248,-0.388,143.738,-6.836,-26.367
1.037,0.286,-0.407,176.392,-15.259,-34.424
1.002,0.228,-0.437,194.397,-19.287,-35.278
0.984,0.161,-0.448,223.206,-22.766,-31.982
0.964,0.050,-0.470,232.544,-22.827,-30.640
0.955,0.026,-0.479,244.080,-23.560,-29.053
0.952,0.029,-0.484,247.925,-23.254,-29.175
0.958,-0.001,-0.484,251.099,-22.461,-29.907
0.935,-0.081,-0.474,253.418,-22.766,-29.053
0.927,-0.095,-0.463,251.465,-22.766,-26.428
0.930,-0.108,-0.454,243.408,-20.142,-23.560
0.939,-0.166,-0.437,237.976,-18.982,-22.888
0.956,-0.191,-0.426,222.656,-15.015,-20.935
0.964,-0.199,-0.401,212.402,-12.451,-21.057
0.975,-0.193,-0.383,189.880,-7.690,-23.743
0.970,-0.234,-0.349,178.345,-8.240,-23.865
0.952,-0.277,-0.337,151.550,-6.653,-24.231
0.942,-0.318,-0.308,135.681,-3.479,-22.644
0.950,-0.313,-0.293,102.600,3.845,-16.418
0.968,-0.298,-0.280,86.609,7.080,-14.526
0.967,-0.289,-0.284,56.396,11.658,-12.390
0.972,-0.234,-0.296,42.236,13.245,-11.902
0.999,-0.197,-0.299,18.372,14.404,-14.404
1.000,-0.140,-0.306,9.338,13.000,-15.808
0.985,-0.112,-0.310,2.075,12.085,-15.808
0.984,-0.069,-0.316,-7.141,12.390,-13.123
1.025,0.032,-0.327,-8.606,11.963,-12.390
1.050,0.042,-0.329,-5.310,7.935,-13.489
1.024,-0.037,-0.319,-3.052,5.310,-13.306
0.996,-0.073,-0.308,-3.662,3.662,-6.958
0.991,-0.025,-0.305,-5.310,4.333,-3.235
1.006,0.025,-0.303,-4.944,3.662,-1.221
